Order ID,Order Date,CustomerName,State,City
B-26055,10-03-2016,Harivansh,Uttar Pradesh,Mathura
B-25993,03-02-2016,Madhav,Delhi,Delhi
B-25973,24-01-2016,Madan Mohan,Uttar Pradesh,Mathura
B-25923,27-12-2016,Gopal,Maharashtra,Mumbai
B-25757,21-08-2016,Vishakha,Madhya Pradesh,Indore
B-25967,21-01-2016,Sudevi,Uttar Pradesh,Prayagraj
B-25955,16-01-2016,Shiva,Maharashtra,Pune
B-26093,27-03-2016,Sarita,Maharashtra,Pune
B-25798,01-10-2016,Shishu,Andhra Pradesh,Hyderabad
B-25602,01-04-2016,Vrinda,Maharashtra,Pune
B-25858,13-11-2016,Uudhav,Maharashtra,Mumbai
B-25969,21-01-2016,Shreyshi,Gujarat,Surat
B-26099,30-03-2016,Bhishm,Maharashtra,Mumbai
B-25997,04-02-2016,Yogesh,Maharashtra,Pune
B-25881,25-11-2016,Lalita,Uttar Pradesh,Mathura
B-25761,25-08-2019,Madhav,Uttar Pradesh,Mathura
B-25887,01-12-2019,Vishakha,Uttar Pradesh,Prayagraj
B-25823,18-10-2019,Rohan,Maharashtra,Mumbai
B-25853,08-11-2019,Gaurav,Gujarat,Ahmedabad
B-25862,15-11-2019,Amol,Bihar,Patna
B-25830,26-10-2016,Aastha,Himachal Pradesh,Simla
B-25786,19-09-2019,Madan Mohan,Uttar Pradesh,Mathura
B-25686,11-06-2019,Pooja,Himachal Pradesh,Simla
B-26022,18-02-2015,Shrichand,Punjab,Chandigarh
B-26003,08-02-2019,Hitesh,Madhya Pradesh,Bhopal
B-25755,19-08-2019,Shourya,Kerala ,Thiruvananthapuram
B-25902,10-12-2020,Ishpreet,Maharashtra,Mumbai
B-25935,04-01-2015,Sudhir,Nagaland,Kohima
B-25797,30-09-2020,Sauptik,Madhya Pradesh,Indore
B-25639,27-04-2020,Lisha,Madhya Pradesh,Bhopal
B-25681,04-06-2020,Bhawna,Madhya Pradesh,Indore
B-25909,13-12-2015,Sujay,Maharashtra,Pune
B-25910,14-12-2020,Jay,Delhi,Delhi
B-25950,13-01-2020,Shruti,Madhya Pradesh,Indore
B-25613,12-04-2020,Mohan,Haryana,Chandigarh
B-25919,23-12-2015,Neha,Rajasthan,Udaipur
B-25768,01-09-2020,Shreyoshe,Karnataka,Bangalore
B-25629,24-04-2020,Hemant,Kerala ,Thiruvananthapuram
B-25729,22-07-2018,Madhulika,Madhya Pradesh,Bhopal
B-25943,09-01-2018,Shardul,Gujarat,Ahmedabad
B-25842,02-11-2018,Sheetal,Maharashtra,Pune
B-26073,21-03-2015,Pournamasi,Madhya Pradesh,Indore
B-25778,11-09-2018,Surabhi,Maharashtra,Mumbai
B-25717,12-07-2018,Manshul,Uttar Pradesh,Lucknow
B-26085,26-03-2015,Shrichand,Punjab,Chandigarh
B-26048,04-03-2020,Parth,Maharashtra,Pune
B-25793,24-09-2018,Siddharth,Madhya Pradesh,Indore
B-25656,11-05-2018,Priyanka,Maharashtra,Pune
B-25608,08-04-2020,Aarushi,Tamil Nadu,Chennai
B-25752,14-08-2018,Vaibhav,Madhya Pradesh,Indore
B-25779,12-09-2018,Savi,Maharashtra,Pune
B-25603,03-04-2020,Jahan,Madhya Pradesh,Bhopal
B-26051,07-03-2020,Parishi,West Bengal,Kolkata
B-25653,08-05-2020,Farah,Nagaland,Kohima
B-25855,08-11-2020,Abhijeet,Madhya Pradesh,Bhopal
B-25762,26-08-2020,Anudeep,Madhya Pradesh,Indore
B-25995,04-02-2018,Yohann,Delhi,Delhi
B-25929,02-01-2018,Girase,Kerala ,Thiruvananthapuram
B-26006,09-02-2018,Arpita,Karnataka,Bangalore
B-25697,22-06-2020,Vijay,Jammu and Kashmir,Kashmir
B-25836,29-10-2020,Arti,Maharashtra,Pune
B-25601,01-04-2020,Bharat,Gujarat,Ahmedabad
B-25873,23-11-2017,Divyeta,Madhya Pradesh,Indore
B-26028,20-02-2017,Manju,Andhra Pradesh,Hyderabad
B-25964,20-01-2017,Oshin,Maharashtra,Pune
B-25676,01-06-2017,Chandni,Rajasthan,Jaipur
B-25839,30-10-2017,Pranjali,West Bengal,Kolkata
